"order_month","total_orders","total_revenue","avg_order_value"
"2016-09-01 00:00:00","1","134.97","134.97"
"2016-10-01 00:00:00","265","40325.11","152.17"
"2016-12-01 00:00:00","1","10.90","10.90"
"2017-01-01 00:00:00","750","111798.36","149.06"
"2017-02-01 00:00:00","1653","234223.40","141.70"
"2017-03-01 00:00:00","2546","359198.85","141.08"
"2017-04-01 00:00:00","2303","340669.68","147.92"
"2017-05-01 00:00:00","3546","489338.25","138.00"
"2017-06-01 00:00:00","3135","421923.37","134.58"
"2017-07-01 00:00:00","3872","481604.52","124.38"
"2017-08-01 00:00:00","4193","554699.70","132.29"
"2017-09-01 00:00:00","4150","607399.67","146.36"
"2017-10-01 00:00:00","4478","648247.65","144.76"
"2017-11-01 00:00:00","7289","987765.37","135.51"
"2017-12-01 00:00:00","5513","726033.19","131.69"
"2018-01-01 00:00:00","7069","924645.00","130.80"
"2018-02-01 00:00:00","6555","826437.13","126.08"
"2018-03-01 00:00:00","7003","953356.25","136.14"
"2018-04-01 00:00:00","6798","973534.09","143.21"
"2018-05-01 00:00:00","6749","977544.69","144.84"
"2018-06-01 00:00:00","6099","856077.86","140.36"
"2018-07-01 00:00:00","6159","867953.46","140.92"
"2018-08-01 00:00:00","6351","838576.64","132.04"
